"","study","treatment","therm1","therm2","therm3","therm4"
"1",2,"No Contact",2,6,0,6
"2",2,"No Contact",91,90,100,93
"3",2,"Same-Sex Marriage Script by Gay Canvasser",52,58,53,59
"4",2,"Same-Sex Marriage Script by Gay Canvasser",43,NA,31,48
"5",2,"Same-Sex Marriage Script by Gay Canvasser",100,94,100,NA
"6",2,"Same-Sex Marriage Script by Gay Canvasser",92,97,87,93
"7",2,"Same-Sex Marriage Script by Gay Canvasser",50,46,NA,47
"8",2,"Same-Sex Marriage Script by Gay Canvasser",99,100,92,100
"9",2,"No Contact",46,67,38,46
"10",2,"Same-Sex Marriage Script by Gay Canvasser",50,45,53,51
"11",2,"Same-Sex Marriage Script by Gay Canvasser",50,64,55,64
"12",2,"Same-Sex Marriage Script by Gay Canvasser",50,63,NA,49
"13",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,96,97
"14",2,"No Contact",6,0,NA,16
"15",2,"No Contact",100,100,100,100
"16",2,"No Contact",99,100,83,NA
"17",2,"No Contact",51,52,41,44
"18",2,"Same-Sex Marriage Script by Gay Canvasser",97,89,96,99
"19",2,"Same-Sex Marriage Script by Gay Canvasser",96,98,98,91
"20",2,"No Contact",47,52,48,57
"21",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,NA
"22",2,"No Contact",64,76,54,64
"23",2,"No Contact",61,66,51,74
"24",2,"No Contact",97,87,100,100
"25",2,"No Contact",22,24,45,25
"26",2,"Same-Sex Marriage Script by Gay Canvasser",12,16,25,NA
"27",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,NA,96
"28",2,"Same-Sex Marriage Script by Gay Canvasser",100,100,100,100
"29",2,"Same-Sex Marriage Script by Gay Canvasser",87,NA,NA,100
"30",2,"Same-Sex Marriage Script by Gay Canvasser",1,2,9,6
"31",2,"No Contact",50,51,54,45
"32",2,"Same-Sex Marriage Script by Gay Canvasser",100,98,NA,100
"33",2,"No Contact",96,NA,89,100
"34",2,"Same-Sex Marriage Script by Gay Canvasser",100,NA,NA,98
"35",2,"Same-Sex Marriage Script by Gay Canvasser",90,92,NA,86
"36",2,"Same-Sex Marriage Script by Gay Canvasser",63,44,59,60
"37",2,"No Contact",1,0,0,9
"38",2,"Same-Sex Marriage Script by Gay Canvasser",51,53,49,52
"39",2,"Same-Sex Marriage Script by Gay Canvasser",71,70,NA,68
"40",2,"Same-Sex Marriage Script by Gay Canvasser",51,89,NA,95
"41",2,"Same-Sex Marriage Script by Gay Canvasser",75,97,100,100
"42",2,"Same-Sex Marriage Script by Gay Canvasser",91,NA,100,99
